name,category,final_pnl,pnl_osmium,pnl_pepper,max_drawdown,trade_count
imc_day_-2,imc,67952.5,-1.5,67954.0,879809.0,144
imc_day_-1,imc,57279.0,0.0,57279.0,960000.0,243
imc_day_0,imc,48385.0,198.0,48187.0,1039814.0,313
av_COFFEE_d0,real,609445.0,0.0,609445.0,2121.5,381
av_COFFEE_d3,real,714551.0,0.0,714551.0,3725.0,380
av_COFFEE_d8,real,929223.5,0.0,929223.5,3956.0,422
av_CORN_d11,real,814206.0,0.0,814206.0,3223.0,303
av_CORN_d6,real,909822.0,0.0,909822.0,2773.0,359
av_COTTON_d1,real,585948.0,0.0,585948.0,3550.5,224
av_COTTON_d4,real,751414.0,0.0,751414.0,2563.0,321
av_COTTON_d9,real,800191.0,0.0,800191.0,3697.0,314
av_SUGAR_d2,real,944547.0,0.0,944547.0,2944.0,309
av_SUGAR_d7,real,946458.0,0.0,946458.0,5579.0,316
av_WHEAT_d10,real,640671.0,0.0,640671.0,5500.0,326
av_WHEAT_d5,real,554706.0,0.0,554706.0,2876.0,475
yf_ADM_d0,real,1085346.0,0.0,1085346.0,5901.0,388
yf_ADM_d13,real,678010.0,0.0,678010.0,5174.0,345
yf_ADM_d5,real,788023.0,0.0,788023.0,3712.5,376
yf_BGS_d0,real,511503.0,0.0,511503.0,6786.0,404
yf_BGS_d13,real,1110726.0,0.0,1110726.0,12422.0,367
yf_BGS_d5,real,757101.0,0.0,757101.0,3421.0,381
yf_MKC_d0,real,935522.0,0.0,935522.0,5128.5,427
yf_MKC_d13,real,1195088.0,0.0,1195088.0,5666.0,415
yf_MKC_d5,real,783803.0,0.0,783803.0,3296.0,498
yf_ZC_F_d0,real,868703.0,0.0,868703.0,3742.0,366
yf_ZC_F_d13,real,1093987.0,0.0,1093987.0,7521.0,378
yf_ZC_F_d5,real,688660.0,0.0,688660.0,3019.0,429
yf_ZS_F_d0,real,1242625.0,0.0,1242625.0,4325.0,383
yf_ZS_F_d13,real,700790.0,0.0,700790.0,5718.0,439
yf_ZS_F_d5,real,910649.0,0.0,910649.0,3797.5,453
yf_ZW_F_d0,real,804193.0,0.0,804193.0,3014.0,361
yf_ZW_F_d13,real,1089041.0,0.0,1089041.0,7257.5,386
yf_ZW_F_d5,real,1087036.0,0.0,1087036.0,7095.0,379
bear_normal_s0,scenario,151453.0,31897.0,119556.0,5895.0,1779
bear_volatile_s0,scenario,206807.0,87251.0,119556.0,6529.0,2513
bull_normal_s0,scenario,75826.0,31897.0,43929.0,7429.0,2028
crash_normal_s0,scenario,206640.0,31897.0,174743.0,57011.0,2277
crash_volatile_s0,scenario,261994.0,87251.0,174743.0,48570.0,3011
high_vol_volatile_s0,scenario,836963.0,87251.0,749712.0,37723.0,1843
sawtooth_normal_s0,scenario,636477.0,27587.0,608890.0,4502.0,888
sawtooth_volatile_s0,scenario,681887.0,72997.0,608890.0,5117.0,1623
sideways_drift_s0,scenario,1092179.0,-8905.0,1101084.0,4349.0,563
sideways_normal_s0,scenario,1133419.0,31897.0,1101522.0,3384.0,1019
spike_crash_volatile_s0,scenario,480824.0,87251.0,393573.0,51805.0,2835
v_recovery_drift_s0,scenario,418418.0,-8905.0,427323.0,6999.0,693
v_recovery_normal_s0,scenario,460723.0,31897.0,428826.0,4788.0,1140
