drop,breach,lockout,imc_sum,min_scenario,v_recovery_sum
6,3,250,248343.0,-4640.0,15398.0
6,3,400,248343.0,-4640.0,15266.0
6,3,600,248343.0,-4640.0,15266.0
6,5,250,248343.0,-4640.0,15398.0
6,5,400,248343.0,-4640.0,15266.0
6,5,600,248343.0,-4640.0,15266.0
6,7,250,248343.0,-4640.0,15398.0
6,7,400,248343.0,-4640.0,15266.0
6,7,600,248343.0,-4640.0,15266.0
8,3,250,248343.0,-4640.0,15470.0
8,3,400,248343.0,-4640.0,15398.0
8,3,600,248343.0,-4640.0,15266.0
8,5,250,248343.0,-4640.0,15470.0
8,5,400,248343.0,-4640.0,15398.0
8,5,600,248343.0,-4640.0,15266.0
8,7,250,248343.0,-4640.0,15470.0
8,7,400,248343.0,-4640.0,15398.0
8,7,600,248343.0,-4640.0,15266.0
10,3,250,248343.0,-4640.0,15470.0
10,3,400,248343.0,-4640.0,15470.0
10,3,600,248343.0,-4640.0,15470.0
10,5,250,248343.0,-4640.0,15470.0
10,5,400,248343.0,-4640.0,15470.0
10,5,600,248343.0,-4640.0,15470.0
10,7,250,248343.0,-4640.0,15470.0
10,7,400,248343.0,-4640.0,15470.0
10,7,600,248343.0,-4640.0,15470.0
12,3,250,248343.0,-4640.0,15602.0
12,3,400,248343.0,-4640.0,15470.0
12,3,600,248343.0,-4640.0,15470.0
12,5,250,248343.0,-4640.0,15888.0
12,5,400,248343.0,-4640.0,15872.0
12,5,600,248343.0,-4640.0,15618.0
12,7,250,248343.0,-4640.0,15888.0
12,7,400,248343.0,-4640.0,15872.0
12,7,600,248343.0,-4640.0,15618.0
