family,family_score,best_symbol_score,avg_tail_rate
SLEEP_POD,1.2436335055816172,1.30631719705071,0.8882814325289543
OXYGEN_SHAKE,1.240903726526539,1.2904397157889684,0.8882747571843396
UV_VISOR,1.2345207017835143,1.2968526697392353,0.8891892793965489
MICROCHIP,1.232812642354164,1.2891909634898326,0.8860385167384266
PANEL,1.2212262136637948,1.3137627483264807,0.8649043756883948
ROBOT,1.2206382332467576,1.274924913288357,0.8605453756550181
PEBBLES,1.2121212307963085,1.2695671519315503,0.8473348686625947
GALAXY_SOUNDS,1.1974307372827835,1.256593811356342,0.82815660358466
TRANSLATOR,1.160958942234657,1.2434240203530451,0.7708754714462134
SNACKPACK,1.1494268553279936,1.3054429044835647,0.7620172891425521
