candidate,symbols_count,symbols,return_code,total_profit
best_per_family_6,6,"PANEL_2X4,SLEEP_POD_NYLON,SNACKPACK_PISTACHIO,UV_VISOR_AMBER,OXYGEN_SHAKE_EVENING_BREATH,MICROCHIP_SQUARE",0,64446.0
top8,8,"PANEL_2X4,SLEEP_POD_NYLON,SNACKPACK_PISTACHIO,UV_VISOR_AMBER,SNACKPACK_STRAWBERRY,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,MICROCHIP_SQUARE",0,38502.0
best_per_family_10,10,"PANEL_2X4,SLEEP_POD_NYLON,SNACKPACK_PISTACHIO,UV_VISOR_AMBER,OXYGEN_SHAKE_EVENING_BREATH,MICROCHIP_SQUARE,ROBOT_IRONING,PEBBLES_XS,GALAXY_SOUNDS_DARK_MATTER,TRANSLATOR_VOID_BLUE",0,38148.0
top6,6,"PANEL_2X4,SLEEP_POD_NYLON,SNACKPACK_PISTACHIO,UV_VISOR_AMBER,SNACKPACK_STRAWBERRY,OXYGEN_SHAKE_EVENING_BREATH",0,36974.0
top10,10,"PANEL_2X4,SLEEP_POD_NYLON,SNACKPACK_PISTACHIO,UV_VISOR_AMBER,SNACKPACK_STRAWBERRY,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,MICROCHIP_SQUARE,MICROCHIP_CIRCLE,MICROCHIP_RECTANGLE",0,25285.0
top4,4,"PANEL_2X4,SLEEP_POD_NYLON,SNACKPACK_PISTACHIO,UV_VISOR_AMBER",0,21264.0
top5,5,"PANEL_2X4,SLEEP_POD_NYLON,SNACKPACK_PISTACHIO,UV_VISOR_AMBER,SNACKPACK_STRAWBERRY",0,15240.0
top2,2,"PANEL_2X4,SLEEP_POD_NYLON",0,12297.0
top3,3,"PANEL_2X4,SLEEP_POD_NYLON,SNACKPACK_PISTACHIO",0,10381.0
