symbol,fills,qty,taker_ratio,avg_spread,avg_edge_vs_mid,avg_alpha_50
VEV_5500,47,472,1.0,1.0425531914893618,-0.5212765957446809,-0.5851063829787234
VELVETFRUIT_EXTRACT,633,5250,0.4060031595576619,4.954186413902054,-0.593996840442338,-0.6153238546603476
VEV_5100,71,357,0.4507042253521127,4.605633802816901,-0.7535211267605634,-0.7535211267605634
VEV_5400,37,327,0.918918918918919,1.9189189189189189,-0.8783783783783784,-1.0135135135135136
VEV_5300,81,585,0.8888888888888888,2.1358024691358026,-0.9691358024691358,-1.0555555555555556
VEV_5200,110,734,0.7090909090909091,3.172727272727273,-1.1863636363636363,-1.1136363636363635
VEV_5000,209,1171,0.645933014354067,6.3253588516746415,-1.5598086124401913,-1.5717703349282297
HYDROGEL_PACK,503,4164,0.6003976143141153,14.640159045725646,-4.0516898608349905,-3.6819085487077534
VEV_4500,2,12,1.0,12.0,-6.0,-4.75
VEV_4000,2,10,1.0,15.5,-7.75,-6.5
